ref_area,indicator,source,sex,time,obs_value,note_indicator,note_source
MEX,LAI_INSP_SEX_NB,FX:466,SEX_T,2018,723,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_M,2018,490,,S3:24_S7:1487
MEX,LAI_INSP_SEX_NB,FX:466,SEX_F,2018,233,,S3:24_S7:1487
MKD,LAI_INSP_SEX_NB,FX:3520,SEX_T,2018,129,,
MKD,LAI_INSP_SEX_NB,FX:3520,SEX_M,2018,50,,
MKD,LAI_INSP_SEX_NB,FX:3520,SEX_F,2018,79,,
MLT,LAI_INSP_SEX_NB,FX:344,SEX_T,2009,5,,
MLT,LAI_INSP_SEX_NB,FX:344,SEX_T,2010,4,,
MLT,LAI_INSP_SEX_NB,FX:344,SEX_T,2011,3,,
MLT,LAI_INSP_SEX_NB,FX:344,SEX_M,2011,3,,
MLT,LAI_INSP_SEX_NB,FX:344,SEX_F,2011,0,,
MLT,LAI_INSP_SEX_NB,FX:344,SEX_T,2012,5,,
MLT,LAI_INSP_SEX_NB,FX:344,SEX_M,2012,4,,
MLT,LAI_INSP_SEX_NB,FX:344,SEX_F,2012,1,,
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_T,2009,57,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_T,2010,57,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_T,2011,56,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_M,2011,36,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_F,2011,20,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_T,2012,66,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_M,2012,41,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_F,2012,25,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_T,2013,70,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_M,2013,41,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_F,2013,29,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_T,2014,130,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_M,2014,55,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_F,2014,75,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_T,2015,184,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_M,2015,60,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_F,2015,124,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_T,2016,174,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_M,2016,54,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_F,2016,120,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_T,2017,166,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_M,2017,50,,S14:3359_S3:26
MMR,LAI_INSP_SEX_NB,FF:1425,SEX_F,2017,116,,S14:3359_S3:26
